id,id,converted_pledged_amount,country,created_at,currency_symbol,slug,url,spotlight,staff_pick,usd_pledged,title,blurb,pledged,goal,video,category_y,funding_percent,is_facebook_connected,facebook_link,creator_websites,images,description,risks_challenges,status
1,1,126,US,1593810480,$,wichita-blues-music-in-the-african-american-community,https://www.kickstarter.com/projects/patoconnor/wichita-blues-music-in-the-african-american-community?ref=discovery_category_newest,FALSE,FALSE,126,Wichita Blues: Music in the African American Community,History of African American music in Wichita KS,10166,4500,,Publishing,225.9111111,0,,,,"Proposal for the Publication of Wichita Blues: Music in the African American Community Objective: This will aid the Kansas African American Museum through the donation of 3/4 of the books printed. Underwriting of publication of Wichita Blues to be published by Rowfant Press, Wichita, by Patrick Joseph O'Connor; with portrait photographs by Arthur Kenyon, as well as historical photographs. Publication date is targeted for winter, 22. This is a way to foster support for the Kansas African American Museum in Wichita, to get out the blues stories of the Wichita African American community and to raise awareness of African American history. Description: This will be a 1 print run of a 16-page casebound HARD COVER book (black and white photos) based on interviews and photographs of eighteen African American blues performers in the project Kenyon and O'Connor did for the Kansas African American Museum (which became a Kansas Historical Society Interpretive Traveling Exhibit), as well as further earlier Wichita history of the Black community. Total publication cost is conservatively estimated at $45. Table of Contents Introduction By  Dr. David H. Evans, Director of Ethnomusicology at University of Memphis and author of The Country Blues 1. Early blacks in Kansas: soldiers, cowboys, minstrels 2. The Exodusters and settlers through the 192s 3. The 193s: Perry Reed, Walton Morgan, Shirley Green 4. The 194s: Gene Metcalf, Harold Cary, Arthur Bates 5.  The 195s: Franklin Mitchell, Jerry Childers, Henry Walker 6.  Folk Artists: Harmonica Chuck, Albert Tucker 7. The Oklahoma influence: Jesse Anderson, Donald Dunn, Berry Harris, Charles Walker, Remona Hicks 8. The 196s: Joe Lotson, Barbara Kerr 9. Discussion of results: Heider's balance theory, Wichita Blues Parametric Model, and diffusion and innovation; the Wichita style, importance in blues history From 1991 to 24, I developed and taught a course on the blues at Wichita State University, Friends University, and Newman University, and presented or published several papers on the blues: CONFERENCES ""The Black Settlement in Wichita and the Blues Music It Produced"" Black Heartland Conference, Washington University 1992 ""Black Folk Song In Kansas: Contributions From A New People"" Missouri Folklore Society 1993 ""Cowboy Blues: Early Black Music In The West"" Western Literature Association, Wichita State University1993 ""Minstrel Shows in Kansas: Creating a Market for the Blues"" Delta Studies Symposium, Arkansas State University 1995 “A Computer Model to Identify Blues Influence in Other Forms of Music” Twomey, Janet M. (Dept of Industrial Engineering, Wichita State University) and O’Connor, Delta Studies Symposium, Arkansas State University, 1998 ACADEMIC PUBLICATIONS “Discovering The Rich Differences In The Blues: The Rural and Urban Genres"" The Midwest Quarterly (Pittsburg State University) Autumn, 1991 http://www.kansashistory.us/oconnorblues.html ""The Black Experience and the Blues in 195s Wichita"" Mid-America Folklore Spring 1993 Reprinted in Blues Gazette (Belgium) Fall 1996 http://www.kansashistory.us/oconnorblack.html ""Cowboy Blues: Early Black Music In The West"" Studies In Popular Culture (University of Louisville) April 1994 Reprinted in Sagacity (Old Cowtown Museum) Winter 1997 http://www.kansashistory.us/oconnorcowboyblues.html “Minstrel and Medicine Shows—Creating a Market for the Blues” Overland Review (University of Arkansas) Volume 32: 1.2, 25 http://www.kansashistory.us/oconnorminstrel.html Entry on Wichita; New Grove Dictionary of American Music, second edition, 211 Summary: This is an opportunity  to showcase the preservation of these histories of Wichita blues, by allowing this book to be published, for use in education (Blues in the Schools), and to foster a deeper enjoyment of the music produced in the Wichita African American community (as delineated in the interviews) from the 193s to today. These books will be around a long time and all copies will contain credit to KICKSTARTER.",Publishing books is not an easy task but I have contacts in the industry and expect to produce a very good product within the expected time. ,success
2,2,711,AU,1447599955,$,pyrex-and-shookz-the-resume,https://www.kickstarter.com/projects/1984783290/pyrex-and-shookz-the-resume?ref=category_newest,FALSE,FALSE,710.8984499,Pyrex & Shookz - The Resume,The Resume' is a compilation Record produced by myself (Pyrex) and my brother Shookz. We are aiming to release early .,999,1000,,Hip-Hop,99.9,0,,['http://redfoxfam.bandcamp.com'],,"Pyrex & Shookz - The Resume  The Resume is a compilation album consisting of song produced by Melbourne Artists Pyrex and Shookz. The album features The almighty Spit Gemz, Ching Rock (Arsonists) straight out of New York & a bunch of Australia's best mc's. We are aiming to raise funds for the manufacturing/pressing of the album for Vinyl record. All profits from sales of the record will go towards our Independent Label 'Red Fox Entertainment' to release our following album.","The project is All ready for manufacturing, we have paid for post production including packaging for the records. Now we just need funds for the actual pressing of the record which will be done in the United States. ",failed
3,3,218,US,1580596489,$,1-up,https://www.kickstarter.com/projects/1-up/1-up?ref=discovery_category_newest,FALSE,FALSE,218,1 Up Grooming Company: Beard Oil (Canceled),Unique beard oils for the gamer community,766,700,,Crafts,109.4285714,0,,,"['https://ksr-ugc.imgix.net/assets/028/280/527/6e8d13a36ec8041c0d54ad37a3e228a4_original.jpg?ixlib=rb-2.1.0&auto=compress%2Cformat&q=1&w=680&fit=max&v=1583086558&frame=1&s=672e32bee536bab5f060c550f97dc790', 'https://ksr-ugc.imgix.net/assets/027/938/370/a3425b34a9c8cb6b6bff9726b9dfa52a_original.jpg?ixlib=rb-2.1.0&auto=compress%2Cformat&q=1&w=680&fit=max&v=1580599495&frame=1&s=0576d5e19b9e276882fa46d9fc655d54', 'https://ksr-ugc.imgix.net/assets/028/022/526/f296c16967c8be66cf661e9ee99636a0_original.jpg?ixlib=rb-2.1.0&auto=compress%2Cformat&q=1&w=680&fit=max&v=1581207129&frame=1&s=1ac8e77263b4f37512944bc245bcf3e2', 'https://ksr-ugc.imgix.net/assets/028/028/346/04ab12edbb8d93216e9656de80ce15a2_original.jpg?ixlib=rb-2.1.0&auto=compress%2Cformat&q=1&w=680&fit=max&v=1581269189&frame=1&s=0a926c1f93d015df152ae7781379e2c1', 'https://ksr-ugc.imgix.net/assets/028/028/348/e21a0d6066d080b4f33cd727a4d4b29b_original.jpg?ixlib=rb-2.1.0&auto=compress%2Cformat&q=1&w=680&fit=max&v=1581269205&frame=1&s=f8f93fd66f8923d3734cc872ae75a588', 'https://ksr-ugc.imgix.net/assets/028/280/532/a2eeb7366613dfb3a4b6bfd1047581ce_original.jpg?ixlib=rb-2.1.0&auto=compress%2Cformat&q=1&w=680&fit=max&v=1583086580&frame=1&s=d743999f19b29aa436405199b7c44f7a', 'https://ksr-ugc.imgix.net/assets/028/238/035/5c094c06daea60294a44e71a52df7e8f_original.png?ixlib=rb-2.1.0&auto=compress%2Cformat&q=1&w=680&fit=max&v=1582761067&frame=1&s=e450e0d3e9d882d002faba32323c7803', 'https://ksr-ugc.imgix.net/assets/028/238/133/07c940abe1d4bdd9a4cd71a57b147ce8_original.png?ixlib=rb-2.1.0&auto=compress%2Cformat&q=1&w=680&fit=max&v=1582761668&frame=1&s=b0d3c4230887c06f8cd9dbf04f635ff2', 'https://ksr-ugc.imgix.net/assets/028/238/200/538f7b5e8971d752cabdd2309694c08b_original.png?ixlib=rb-2.1.0&auto=compress%2Cformat&q=1&w=680&fit=max&v=1582762132&frame=1&s=16c6963ba16b61db51db7259d6cff818', 'https://ksr-ugc.imgix.net/assets/028/237/976/2c9573500ab124033bb0141c0d31f8c3_original.png?ixlib=rb-2.1.0&auto=compress%2Cformat&q=1&w=680&fit=max&v=1582760749&frame=1&s=aaac56a0281c0828d08e271f95f630ea', 'https://ksr-ugc.imgix.net/assets/028/238/243/9649b1ef0714f05485005be2df3938de_original.png?ixlib=rb-2.1.0&auto=compress%2Cformat&q=1&w=680&fit=max&v=1582762392&frame=1&s=9c706a993d109bfffd65fc2243860a58', 'https://ksr-ugc.imgix.net/assets/028/238/016/e1f310a5fc7fa6bf2897a34a977c344a_original.png?ixlib=rb-2.1.0&auto=compress%2Cformat&q=1&w=680&fit=max&v=1582760969&frame=1&s=0d49be0ff164f10d2081cbe067fad047']","The Story: A husband and wife team setting out to make the beards of the world look and feel better. Tired of not finding the right oil/scent, we decided to make our own. With years of gaming and beard ownership experience, we use that as inspiration for this product line. We are turning to Kickstarter to acquire the funds necessary to start this grooming company. With the Kickstarter funds we hope to bring our brand and our product to life. Expansion is one of our goals as well, as we hope to bring other product lines to life. The Product:  A custom blend of oils meant to nourish and soften your beard. Using unique combinations of both fragrance and essential oils we bring the scents of different game worlds to life. We are starting off small with three unique scents that we believe stay true to their origins. 1 Up Grooming company is not tested on animals.  The Brand: Games and their worlds are the main inspiration behind this company. With so many different characters, worlds, and stories it is easy for us to find new ideas for products and scents. We hope to bring these game worlds to life via the scents we create.  Why Beard Oil? Everyone has to start out somewhere, and the choice we made was beard oil. This was because not only does one of us have a beard, but many other people do as well. We hope to bring unique game inspired scents to the world. If successful we could also easily bring these scents into other products, for men and women. Stretch Goals: If we meet our goal and go beyond it we will have the capability to create even more scents. If we double our goal we can even bring out a new product line.","We know the gaming community is a passionate one, and we hope to satisfy it with the scents we create, although we understand that everyone's nose is different. ",success
4,4,1490,US,1438371040,$,shrek-the-musical-0,https://www.kickstarter.com/projects/rctc/shrek-the-musical-0?ref=category_newest,FALSE,FALSE,1490,Shrek the Musical,River City Theatre Company needs your support as we embark on our first full musical and sixteenth production: Shrek the Musical!,1490,1500,https://v.kickstarter.com/1607962170_80f28b8a0ab75e3fc94dc048ad12b17cf8d52b6e/projects/2004798/video-569273-h264_base.mp4,Musical,99.33333333,1,,"['http://www.rivercitytheatrecompany.org', 'http://www.facebook.com/watertownrctc']",,"River City Theatre Company (RCTC) needs your support as we embark on our first full musical and our sixteenth production, Shrek the Musical! The popular animated movie is brought to life on the stage with this fun show containing many of your favorite fairy tale creatures. With over 3 actors, a dozen orchestra musicians, and many volunteers behind the scenes, this production will be an amazing display of local talent!  The story of inner beauty and embracing our unique oddities will appeal to audience members of all ages. Performances will be held in our wonderful Watertown-Mayer Performing Arts Center the two weekends following Labor Day. Your contribution will go towards the production expenses such as set, lights, props, costumes, rehearsal space, royalties, printing costs, and more. Thank you so much for supporting River City Theatre Company, and we look forward to seeing you at the show!","Shrek the Musical offers many challenges for RCTC and our cast and crew! The cast is already working hard in rehearsals to memorize lines, learn dances and sing songs. The orchestra is busy rehearsing music. We're collecting props, building sets, sewing costumes, and preparing lights and sound effects. And we're confident we will present a spectacular show that will amaze audience members of all ages! ",failed
5,5,10727,US,1447518212,$,moonlight-vulture,https://www.kickstarter.com/projects/1000066622/moonlight-vulture?ref=category_newest,TRUE,TRUE,10727,Moonlight Vulture," Moonlight Vulture is a vegetarian sandwich shop serving flavorful hot and cold sandwiches, salads, soup, and chili. ",10727,10000,https://v.kickstarter.com/1607928827_0d746015f2ca7e8a619bb5a163d47c1dc44c740b/projects/2189116/video-618673-h264_base.mp4, Restaurants ,107.27,0,,,,"Many people regard the vulture as a scourge of the animal kingdom. In our eyes the vulture represents a scavenger, but in this case it is seeking vegetarian food. The moonlight in the name refers to being open later at night and having a calm, quiet atmosphere.  Moonlight Vulture, our sandwich shop in Logan Square, Chicago, is launching on the slimmest of margins, true to its vulture roots. We have secured the space and have begun demolition.  2889 N. Milwaukee Ave. is along a historic and thriving corridor, and we wish to contribute to the community by offering residents and visitors delicious fare. Our build out and initial start up costs are just over 7K, and in the scope of what we need, the Kickstarter is only a fraction, but a very important fraction. As we are not getting a conventional bank loan the $1, will be a vital part of our success.  The Kickstarter funds will enable Moonlight Vulture greater creativity, which is necessary for the environment we wish to cultivate.   It helps that we have experience in this business and understand that the greatest asset we have is our own labor and dedication. Taking part in the entire process, from demolition to cooking, we will be saving labor costs and working the long, long shifts, because it's a dream of ours. Your Kickstarter help is important!  Moonlight Vulture will rise with a very shoe-string approach and we appreciate you checking out our dream. Not only is food a creative endeavor, but the right atmosphere brings together creative individuals who need nourishment and healthy food to keep their vital selves running later into the evening. ","The risk of opening a food establishment is one the highest but we have made great progress already and are lined up well to continue with the plans in place. The most important gift we have is vision, to see beyond the present and realize the future state of things.   There will be setbacks. Luckily, experience has taught us to stay focused on the solution to any given problem, and ask for help when we need it. One of the biggest challenges will be practicing a new menu in a new kitchen and delivering our art (sandwiches and food) in a timely manner.  Enthusiasm is something we bring everyday to this project. We are very excited and never forget this is a learning process. It's taking a team of people to launch Moonlight Vulture, and we're getting great help and support-- thank you to everyone. ",success
